Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
154,VIST,Energy,Oil & Gas E&P,NYSE,152.51,97,99,98,97
155,VRDN,Healthcare,Biotechnology,NASDAQ,152.49,97,79,98,23
156,FLNG,Energy,Oil & Gas Midstream,NYSE,152.33,97,96,98,98
157,HLX,Energy,Oil & Gas Equipment & Services,NYSE,152.27,97,99,92,39
158,AIMC,Industrials,Specialty Industrial Machinery,NASDAQ,152.17,97,94,36,33
159,ONEM,Healthcare,Health Information Services,NASDAQ,151.87,97,95,97,18
160,RLX,Consumer Defensive,Tobacco,NYSE,151.62,97,20,3,29
161,IMMR,Technology,Software—Application,NASDAQ,151.51,97,68,76,61
162,SBR,Energy,Oil & Gas E&P,NYSE,151.26,97,98,98,98
163,ISEE,Healthcare,Biotechnology,NASDAQ,151.14,97,96,96,46
164,RMBS,Technology,Semiconductors,NASDAQ,151.12,97,97,79,45
165,MGNX,Healthcare,Biotechnology,NASDAQ,150.84,97,87,22,1
166,LVTX,Healthcare,Biotechnology,NASDAQ,150.27,97,96,17,11
167,MODN,Technology,Software—Application,NYSE,150.23,97,96,90,54
168,HALO,Healthcare,Biotechnology,NASDAQ,149.94,97,96,78,95
169,REPL,Healthcare,Biotechnology,NASDAQ,149.65,97,82,36,40
170,AXON,Industrials,Aerospace & Defense,NASDAQ,149.16,97,97,74,20
171,TRVI,Healthcare,Biotechnology,NASDAQ,148.94,97,98,99,98
172,AGYS,Technology,Softwareâ€”Application,NASDAQ,148.65,97,97,89,61
173,EVLV,Industrials,Security & Protection Services,NASDAQ,148.6,97,60,17,78
174,SANM,Technology,Electronic Components,NASDAQ,148.3,97,98,91,85
175,GSMG,Communication Services,Broadcasting,NASDAQ,147.97,97,95,95,20
176,TNGX,Healthcare,Biotechnology,NASDAQ,147.7,96,92,5,9
177,VOC,Energy,Oil & Gas E&P,NYSE,147.61,96,98,95,98
178,ENPH,Technology,Solar,NASDAQ,147.11,96,97,99,92
179,BLUE,Healthcare,Biotechnology,NASDAQ,146.38,96,94,91,19
180,TGLS,Industrials,Building Products & Equipment,NYSE,146.37,96,73,73,34
181,RAVE,Consumer Cyclical,Restaurants,NASDAQ,146.35,96,95,77,71
182,TCOM,Consumer Cyclical,Travel Services,NASDAQ,146.21,96,84,83,57
183,CAH,Healthcare,Medical Distribution,NYSE,146.17,96,95,94,79
184,KDNY,Healthcare,Biotechnology,NASDAQ,146.08,96,95,95,97
185,SRPT,Healthcare,Biotechnology,NASDAQ,145.76,96,93,97,50
186,AIRT,Industrials,Integrated Freight & Logistics,NASDAQ,145.76,96,86,20,31
187,GNE,Utilities,Utilities—Regulated Electric,NYSE,145.68,96,93,97,98
188,ULH,Industrials,Trucking,NASDAQ,145.3,96,97,97,97
189,GILD,Healthcare,Drug Manufacturers—General,NASDAQ,144.96,96,95,80,75
190,VIPS,Consumer Cyclical,Internet Retail,NYSE,144.41,96,41,51,78
191,VTRU,Consumer Defensive,Education & Training Services,NASDAQ,144.09,96,97,89,94
192,HROW,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,144.01,96,97,91,39
193,HZNP,Healthcare,Drug Manufacturers—General,NASDAQ,143.99,96,49,14,44
194,HIMS,Consumer Defensive,Household & Personal Products,NYSE,143.99,96,84,85,27
